t_6B.1,t_6B.1A.2,t_6B.1A.3,t_6B.1A.4,t_6B.1A.5a,t_6B.1A.5a1,t_6B.1A.5a2,t_6B.1A.5b,t_6B.1A.6,t_6B.1A.7,t_pre-6B.1,c_6B.1,c_6B.1A.2,c_6B.1A.3,c_6B.1A.4,c_6B.1A.5a,c_6B.1A.5a1,c_6B.1A.5a2,c_6B.1A.5b,c_6B.1A.6,c_6B.1A.7,c_pre-6B.1,k_6B.1,k_6B.1A.2,k_6B.1A.3,k_6B.1A.4,k_6B.1A.5a,k_6B.1A.5a1,k_6B.1A.5a2,k_6B.1A.5b,k_6B.1A.6,k_6B.1A.7,k_pre-6B.1,qt_6B.1,qt_6B.1A.2,qt_6B.1A.3,qt_6B.1A.4,qt_6B.1A.5a,qt_6B.1A.5a1,qt_6B.1A.5a2,qt_6B.1A.5b,qt_6B.1A.6,qt_6B.1A.7,qt_pre-6B.1
2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0171386190155525,1.0e-10,1.0000000000639386e-10,7.856254676558153e-8,1.000000008196148e-10,0.00020678375562241565,3.1395018705778344e-7,1.0e-10,1.0000000000814274e-10,1.0e-10,1.0057903547935916,0.00025117616337395557,1.0e-10,1.0e-10,1.0000000001501681e-10,1.0000000000000002e-10,1.0000000001483389e-10,1.0000000000000002e-10,1.0e-10,1.0e-10,1.0e-10,0.999999142979841
2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0171386190155525,1.0e-10,1.0000000000639386e-10,7.856254676558153e-8,1.000000008196148e-10,0.00020678375562241565,3.1395018705778344e-7,1.0e-10,1.0000000000814274e-10,1.0e-10,1.0057903547935916,0.00025117616337395557,1.0e-10,1.0e-10,1.0000000001501681e-10,1.0000000000000002e-10,1.0000000001483389e-10,1.0000000000000002e-10,1.0e-10,1.0e-10,1.0e-10,0.999999142979841
2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0171386190155525,1.0e-10,1.0000000000639386e-10,7.856254676558153e-8,1.000000008196148e-10,0.00020678375562241565,3.1395018705778344e-7,1.0e-10,1.0000000000814274e-10,1.0e-10,1.0057903547935916,0.00025117616337395557,1.0e-10,1.0e-10,1.0000000001501681e-10,1.0000000000000002e-10,1.0000000001483389e-10,1.0000000000000002e-10,1.0e-10,1.0e-10,1.0e-10,0.999999142979841
2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0171386190155525,1.0e-10,1.0000000000639386e-10,7.856254676558153e-8,1.000000008196148e-10,0.00020678375562241565,3.1395018705778344e-7,1.0e-10,1.0000000000814274e-10,1.0e-10,1.0057903547935916,0.00025117616337395557,1.0e-10,1.0e-10,1.0000000001501681e-10,1.0000000000000002e-10,1.0000000001483389e-10,1.0000000000000002e-10,1.0e-10,1.0e-10,1.0e-10,0.999999142979841
2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0171386190155525,1.0e-10,1.0000000000639386e-10,7.856254676558153e-8,1.000000008196148e-10,0.00020678375562241565,3.1395018705778344e-7,1.0e-10,1.0000000000814274e-10,1.0e-10,1.0057903547935916,0.00025117616337395557,1.0e-10,1.0e-10,1.0000000001501681e-10,1.0000000000000002e-10,1.0000000001483389e-10,1.0000000000000002e-10,1.0e-10,1.0e-10,1.0e-10,0.999999142979841
2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0171386190155525,1.0e-10,1.0000000000639386e-10,7.856254676558153e-8,1.000000008196148e-10,0.00020678375562241565,3.1395018705778344e-7,1.0e-10,1.0000000000814274e-10,1.0e-10,1.0057903547935916,0.00025117616337395557,1.0e-10,1.0e-10,1.0000000001501681e-10,1.0000000000000002e-10,1.0000000001483389e-10,1.0000000000000002e-10,1.0e-10,1.0e-10,1.0e-10,0.999999142979841
2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0171386190155525,1.0e-10,1.0000000000639386e-10,7.856254676558153e-8,1.000000008196148e-10,0.00020678375562241565,3.1395018705778344e-7,1.0e-10,1.0000000000814274e-10,1.0e-10,1.0057903547935916,0.00025117616337395557,1.0e-10,1.0e-10,1.0000000001501681e-10,1.0000000000000002e-10,1.0000000001483389e-10,1.0000000000000002e-10,1.0e-10,1.0e-10,1.0e-10,0.999999142979841
2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0171386190155525,1.0e-10,1.0000000000639386e-10,7.856254676558153e-8,1.000000008196148e-10,0.00020678375562241565,3.1395018705778344e-7,1.0e-10,1.0000000000814274e-10,1.0e-10,1.0057903547935916,0.00025117616337395557,1.0e-10,1.0e-10,1.0000000001501681e-10,1.0000000000000002e-10,1.0000000001483389e-10,1.0000000000000002e-10,1.0e-10,1.0e-10,1.0e-10,0.999999142979841
2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0171386190155525,1.0e-10,1.0000000000639386e-10,7.856254676558153e-8,1.000000008196148e-10,0.00020678375562241565,3.1395018705778344e-7,1.0e-10,1.0000000000814274e-10,1.0e-10,1.0057903547935916,0.00025117616337395557,1.0e-10,1.0e-10,1.0000000001501681e-10,1.0000000000000002e-10,1.0000000001483389e-10,1.0000000000000002e-10,1.0e-10,1.0e-10,1.0e-10,0.999999142979841
2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0171386190155525,1.0e-10,1.0000000000639386e-10,7.856254676558153e-8,1.000000008196148e-10,0.00020678375562241565,3.1395018705778344e-7,1.0e-10,1.0000000000814274e-10,1.0e-10,1.0057903547935916,0.00025117616337395557,1.0e-10,1.0e-10,1.0000000001501681e-10,1.0000000000000002e-10,1.0000000001483389e-10,1.0000000000000002e-10,1.0e-10,1.0e-10,1.0e-10,0.999999142979841
2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0171386190155525,1.0e-10,1.0000000000639386e-10,7.856254676558153e-8,1.000000008196148e-10,0.00020678375562241565,3.1395018705778344e-7,1.0e-10,1.0000000000814274e-10,1.0e-10,1.0057903547935916,0.00025117616337395557,1.0e-10,1.0e-10,1.0000000001501681e-10,1.0000000000000002e-10,1.0000000001483389e-10,1.0000000000000002e-10,1.0e-10,1.0e-10,1.0e-10,0.999999142979841
2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0171386190155525,1.0e-10,1.0000000000639386e-10,7.856254676558153e-8,1.000000008196148e-10,0.00020678375562241565,3.1395018705778344e-7,1.0e-10,1.0000000000814274e-10,1.0e-10,1.0057903547935916,0.00025117616337395557,1.0e-10,1.0e-10,1.0000000001501681e-10,1.0000000000000002e-10,1.0000000001483389e-10,1.0000000000000002e-10,1.0e-10,1.0e-10,1.0e-10,0.999999142979841
2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0171386190155525,1.0e-10,1.0000000000639386e-10,7.856254676558153e-8,1.000000008196148e-10,0.00020678375562241565,3.1395018705778344e-7,1.0e-10,1.0000000000814274e-10,1.0e-10,1.0057903547935916,0.00025117616337395557,1.0e-10,1.0e-10,1.0000000001501681e-10,1.0000000000000002e-10,1.0000000001483389e-10,1.0000000000000002e-10,1.0e-10,1.0e-10,1.0e-10,0.999999142979841
2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0171386190155525,1.0e-10,1.0000000000639386e-10,7.856254676558153e-8,1.000000008196148e-10,0.00020678375562241565,3.1395018705778344e-7,1.0e-10,1.0000000000814274e-10,1.0e-10,1.0057903547935916,0.00025117616337395557,1.0e-10,1.0e-10,1.0000000001501681e-10,1.0000000000000002e-10,1.0000000001483389e-10,1.0000000000000002e-10,1.0e-10,1.0e-10,1.0e-10,0.999999142979841
2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0171386190155525,1.0e-10,1.0000000000639386e-10,7.856254676558153e-8,1.000000008196148e-10,0.00020678375562241565,3.1395018705778344e-7,1.0e-10,1.0000000000814274e-10,1.0e-10,1.0057903547935916,0.00025117616337395557,1.0e-10,1.0e-10,1.0000000001501681e-10,1.0000000000000002e-10,1.0000000001483389e-10,1.0000000000000002e-10,1.0e-10,1.0e-10,1.0e-10,0.999999142979841
2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0171386190155525,1.0e-10,1.0000000000639386e-10,7.856254676558153e-8,1.000000008196148e-10,0.00020678375562241565,3.1395018705778344e-7,1.0e-10,1.0000000000814274e-10,1.0e-10,1.0057903547935916,0.00025117616337395557,1.0e-10,1.0e-10,1.0000000001501681e-10,1.0000000000000002e-10,1.0000000001483389e-10,1.0000000000000002e-10,1.0e-10,1.0e-10,1.0e-10,0.999999142979841
2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0171386190155525,1.0e-10,1.0000000000639386e-10,7.856254676558153e-8,1.000000008196148e-10,0.00020678375562241565,3.1395018705778344e-7,1.0e-10,1.0000000000814274e-10,1.0e-10,1.0057903547935916,0.00025117616337395557,1.0e-10,1.0e-10,1.0000000001501681e-10,1.0000000000000002e-10,1.0000000001483389e-10,1.0000000000000002e-10,1.0e-10,1.0e-10,1.0e-10,0.999999142979841
2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0171386190155525,1.0e-10,1.0000000000639386e-10,7.856254676558153e-8,1.000000008196148e-10,0.00020678375562241565,3.1395018705778344e-7,1.0e-10,1.0000000000814274e-10,1.0e-10,1.0057903547935916,0.00025117616337395557,1.0e-10,1.0e-10,1.0000000001501681e-10,1.0000000000000002e-10,1.0000000001483389e-10,1.0000000000000002e-10,1.0e-10,1.0e-10,1.0e-10,0.999999142979841
2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0171386190155525,1.0e-10,1.0000000000639386e-10,7.856254676558153e-8,1.000000008196148e-10,0.00020678375562241565,3.1395018705778344e-7,1.0e-10,1.0000000000814274e-10,1.0e-10,1.0057903547935916,0.00025117616337395557,1.0e-10,1.0e-10,1.0000000001501681e-10,1.0000000000000002e-10,1.0000000001483389e-10,1.0000000000000002e-10,1.0e-10,1.0e-10,1.0e-10,0.999999142979841
2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0171386190155525,1.0e-10,1.0000000000639386e-10,7.856254676558153e-8,1.000000008196148e-10,0.00020678375562241565,3.1395018705778344e-7,1.0e-10,1.0000000000814274e-10,1.0e-10,1.0057903547935916,0.00025117616337395557,1.0e-10,1.0e-10,1.0000000001501681e-10,1.0000000000000002e-10,1.0000000001483389e-10,1.0000000000000002e-10,1.0e-10,1.0e-10,1.0e-10,0.999999142979841
2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0171386190155525,1.0e-10,1.0000000000639386e-10,7.856254676558153e-8,1.000000008196148e-10,0.00020678375562241565,3.1395018705778344e-7,1.0e-10,1.0000000000814274e-10,1.0e-10,1.0057903547935916,0.00025117616337395557,1.0e-10,1.0e-10,1.0000000001501681e-10,1.0000000000000002e-10,1.0000000001483389e-10,1.0000000000000002e-10,1.0e-10,1.0e-10,1.0e-10,0.999999142979841
2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0171386190155525,1.0e-10,1.0e-10,1.9625636691399396e-7,1.0000000097329257e-10,0.00024555569105161855,3.4337364209445065e-7,0.312500000096875,1.0000000000890612e-10,0.312500000096875,1.0057903547935916,0.00043955821090442223,1.0e-10,1.0000000413701856e-10,1.0000000002627942e-10,1.0000000000000002e-10,1.0000000001483389e-10,1.0000000000000002e-10,1.0e-10,1.0e-10,1.0e-10,0.999999142979841
2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0171386190155525,1.0e-10,1.0000000000049953e-10,1.0e-10,1.0000000097329257e-10,0.00024555569105161855,3.4337364209445065e-7,0.312500000096875,1.0000000000890612e-10,0.312500000096875,1.0057903547935916,0.00043955821090442223,1.0e-10,1.0000000413701856e-10,1.0000000002627942e-10,1.0000000000000002e-10,1.0000000001483389e-10,1.0000000000000002e-10,1.0e-10,1.0e-10,1.0e-10,0.999999142979841
2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0171386190155525,1.0e-10,1.0000000000699329e-10,8.59184105248548e-8,1.0e-10,0.00043941536819770374,3.4337364209445065e-7,0.312500000096875,1.0000000000890612e-10,0.312500000096875,1.0057903547935916,0.00043955821090442223,1.0e-10,1.0000000413701856e-10,1.0000000002627942e-10,1.0000000000000002e-10,1.0000000001483389e-10,1.0000000000000002e-10,1.0e-10,1.0e-10,1.0e-10,0.999999142979841
2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0171386190155525,1.0e-10,1.0000000000699329e-10,8.59184105248548e-8,1.0e-10,1.0e-10,3.4337364209445065e-7,0.312500000096875,1.0000000000890612e-10,0.312500000096875,1.0057903547935916,0.00043955821090442223,1.0e-10,1.0000000413701856e-10,1.0000000002627942e-10,1.0000000000000002e-10,1.0000000001483389e-10,1.0000000000000002e-10,1.0e-10,1.0e-10,1.0e-10,0.999999142979841
2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0171386190155525,1.0e-10,1.0000000000639386e-10,7.856254676558153e-8,1.000000008196148e-10,0.00020678375562241565,3.1395018705778344e-7,1.0e-10,1.0000000000814274e-10,1.0e-10,1.0057903547935916,0.00025117616337395557,1.0e-10,1.0e-10,1.0000000001501681e-10,1.0000000000000002e-10,1.0000000001483389e-10,1.0000000000000002e-10,1.0e-10,1.0e-10,1.0e-10,0.999999142979841
2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0171386190155525,1.0e-10,1.0000000000639386e-10,7.856254676558153e-8,1.000000008196148e-10,0.00020678375562241565,3.1395018705778344e-7,1.0e-10,1.0000000000814274e-10,1.0e-10,1.0057903547935916,0.00025117616337395557,1.0e-10,1.0e-10,1.0000000001501681e-10,1.0000000000000002e-10,1.0000000001483389e-10,1.0000000000000002e-10,1.0e-10,1.0e-10,1.0e-10,0.999999142979841
2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2012-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0171386190155525,1.0e-10,1.0000000000639386e-10,7.856254676558153e-8,1.000000008196148e-10,0.00020678375562241565,3.1395018705778344e-7,1.0e-10,1.0000000000814274e-10,1.0e-10,1.0057903547935916,0.00025117616337395557,1.0e-10,1.0e-10,1.0000000001501681e-10,1.0000000000000002e-10,1.0000000001483389e-10,1.0000000000000002e-10,1.0e-10,1.0e-10,1.0e-10,0.999999142979841
